fecha,supermercado,producto,precio
2025-07-31,anonima,Queso Cremoso Cremón Doble Crema Fraccionado La Serenísima x 1 kg.,15850.0
2025-07-31,anonima,Queso Cremoso Cremón Horma Fraccionado La Serenísima x 1 Kg.,13900.0
2025-07-31,anonima,Queso Cremoso Cremón La Serenísima x 1 kg.,14900.0
2025-07-31,anonima,Queso Cremoso Fraccionado La Paulina x 1 kg.,11400.0
2025-07-31,anonima,Queso Cremoso Horma Fraccionada Barraza x 1 Kg.,9650.0
2025-07-31,anonima,Queso Cremoso Horma Fraccionada Noalsa x 1 Kg.,10200.0
2025-07-31,anonima,Queso Cremoso Horma Fraccionada x 1Kg.,10500.0
2025-07-31,anonima,Queso Cremoso La Paulina Doble Crema x kg.,11950.0
2025-07-31,anonima,Queso Cremoso Saint Paulin Horma Fraccionada La Paulina x 1 Kg.,12100.0
2025-07-31,anonima,Queso Cremoso Trozado La Anónima x 1 kg.,13800.0
2025-07-31,anonima,Queso Cremoso Trozado Tregar x 1 kg.,14650.0
2025-07-31,anonima,Queso Cremoso fraccionado Punta del Agua x Kg.,11900.0
