fecha,supermercado,producto,precio
2025-08-02,carrefour,Cremoso vegano Biorganic 500 g.,9080.0
2025-08-02,carrefour,Cremoso vegano Felices Las Vacas 500 g.,6589.0
2025-08-02,carrefour,Queso Cremoso Cremón Doble Crema Fraccionado La Serenísima x 1 kg.,15189.0
2025-08-02,carrefour,Queso Cremoso Cremón Horma La Serenísima x 1 Kg.,14315.0
2025-08-02,carrefour,Queso Cremoso Cremón La Serenísima x 1 kg.,14329.0
2025-08-02,carrefour,Queso Cremoso La Paulina Doble Crema x kg.,11899.0
2025-08-02,carrefour,Queso Cremoso La Paulina x 1 kg.,9990.0
2025-08-02,carrefour,Queso cremoso 1 8 Cremac x kg,12000.0
2025-08-02,carrefour,Queso cremoso Bonne vie bajo lactosa x kg.,35690.0
2025-08-02,carrefour,Queso cremoso Cerutti fracc x kg.,14920.0
2025-08-02,carrefour,Queso cremoso Classic x kg.,11200.0
2025-08-02,carrefour,Queso cremoso Cremac x kg.,9800.0
2025-08-02,carrefour,Queso cremoso Cremón x kg.,14329.0
2025-08-02,carrefour,Queso cremoso El Puente horma x kg,10500.0
2025-08-02,carrefour,Queso cremoso Los 4 Hermanos x kl.,12110.0
2025-08-02,carrefour,Queso cremoso Puyehue horma x kg.,8990.0
2025-08-02,carrefour,Queso cremoso Puyehué 300 g.,3280.0
2025-08-02,carrefour,Queso cremoso Sudamlac x kg,10810.0
2025-08-02,carrefour,Queso cremoso Tremblay trozado x kg.,11550.0
2025-08-02,carrefour,Queso cremoso horma Supercrem x kg.,14280.0
2025-08-02,carrefour,Queso cremoso procesado Los 4 hermanos 250 g.,2590.0
2025-08-02,carrefour,Queso cremoso sin sal Bonne vie bajo lactosa x kg.,36770.0
