fecha,supermercado,producto,precio
2025-08-01,coto,Cremoso . Canut Xkg,11345.0
2025-08-01,coto,Cremoso Bajo En Lactosa Sin Sal BONNE VIE X Kg,28910.0
2025-08-01,coto,Cremoso Fraccionado TREGAR X Kg,12999.0
2025-08-01,coto,Cremoso PRIMERA MARCA Xkg,10599.0
2025-08-01,coto,Cremoso Vacalin Fraccion Paq 400 Grm,5869.0
2025-08-01,coto,Queso Cremoso COTO 400 Gr,5739.0
2025-08-01,coto,Queso Cremoso Cremón La Serenísima x 1 kg.,14835.0
2025-08-01,coto,Queso Cremoso Fraccionado Silvia 1kg,13999.0
2025-08-01,coto,Queso Cremoso La Maria Pilar X Kg,11999.0
2025-08-01,coto,Queso Cremoso La Paulina Doble Crema x kg.,8899.0
2025-08-01,coto,Queso Cremoso La Paulina x 1 kg.,8999.0
2025-08-01,coto,Queso Cremoso Trozado Punta del Agua x 1 kg.,13399.0
2025-08-01,coto,Queso Cremoso fraccionado Punta del Agua x Kg.,12299.0
