fecha,nombre,precio
2025-08-01,Queso Cremoso Cremón La Serenísima x 1 kg.,15450
2025-08-01,Queso Cremoso Horma Fraccionada Noalsa x 1 Kg.,7500
2025-08-01,Queso Cremoso Doble Crema Fraccionado La Paulina x 1 Kg.,11950
2025-08-01,Queso Cremoso H./Fraccionado Punta del Agua x 1 Kg.,11900
2025-08-01,Queso Cremoso Fraccionado La Paulina x 1 kg.,11400
2025-08-01,Queso Cremoso Cremón Doble Crema Fraccionado La Serenísima x 1 kg.,16400
2025-08-01,Queso Cremoso Trozado Tregar x 1 kg.,14650
2025-08-01,Queso Cremoso Horma Fraccionada Barraza x 1 Kg.,9650
2025-08-01,Queso Cremoso Horma Fraccionada x 1Kg.,10500
2025-08-01,Queso Cremoso Saint Paulin Horma Fraccionada La Paulina x 1 Kg.,12100
2025-08-01,Queso Cremoso Trozado La Anónima x 1 kg.,13800
2025-08-01,Queso Cremoso Cremón Horma Fraccionado La Serenísima x 1 Kg.,14350
